year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Blood circulation system disease,0.6967,total,overall
2007,4,Aktobe region,Blood circulation system disease,0.4529,total,overall
2007,5,Almaty region,Blood circulation system disease,0.5425,total,overall
2007,6,Atyrau region,Blood circulation system disease,0.3213,total,overall
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5258,total,overall
2007,8,Jambyl region,Blood circulation system disease,0.4527,total,overall
2007,9,Karaganda region,Blood circulation system disease,0.7395,total,overall
2007,10,Kostanay region,Blood circulation system disease,0.7507,total,overall
2007,11,Kyzylorda region,Blood circulation system disease,0.3838,total,overall
2007,12,Mangystau region,Blood circulation system disease,0.1917,total,overall
2007,13,South Kazakhstan region,Blood circulation system disease,0.3432,total,overall
2007,14,Pavlodar region,Blood circulation system disease,0.5983,total,overall
2007,15,North Kazakhstan region,Blood circulation system disease,0.6332,total,overall
2007,16,East Kazakhstan region,Blood circulation system disease,0.7388,total,overall
2007,1,Nur-Sultan,Blood circulation system disease,0.254,total,overall
2007,2,Almaty,Blood circulation system disease,0.5222,total,overall
2008,3,Akmola region,Blood circulation system disease,0.6046,total,overall
2008,4,Aktobe region,Blood circulation system disease,0.3914,total,overall
2008,5,Almaty region,Blood circulation system disease,0.496,total,overall
2008,6,Atyrau region,Blood circulation system disease,0.2619,total,overall
2008,7,West Kazakkhstan region,Blood circulation system disease,0.5136,total,overall
2008,8,Jambyl region,Blood circulation system disease,0.4142,total,overall
2008,9,Karaganda region,Blood circulation system disease,0.7162,total,overall
2008,10,Kostanay region,Blood circulation system disease,0.6761,total,overall
2008,11,Kyzylorda region,Blood circulation system disease,0.3454,total,overall
2008,12,Mangystau region,Blood circulation system disease,0.2564,total,overall
2008,13,South Kazakhstan region,Blood circulation system disease,0.3343,total,overall
2008,14,Pavlodar region,Blood circulation system disease,0.581,total,overall
2008,15,North Kazakhstan region,Blood circulation system disease,0.4978,total,overall
2008,16,East Kazakhstan region,Blood circulation system disease,0.6998,total,overall
2008,1,Nur-Sultan,Blood circulation system disease,0.2428,total,overall
2008,2,Almaty,Blood circulation system disease,0.5011,total,overall
2009,3,Akmola region,Blood circulation system disease,0.5573,total,overall
2009,4,Aktobe region,Blood circulation system disease,0.3437,total,overall
2009,5,Almaty region,Blood circulation system disease,0.4199,total,overall
2009,6,Atyrau region,Blood circulation system disease,0.2819,total,overall
2009,7,West Kazakkhstan region,Blood circulation system disease,0.4944,total,overall
2009,8,Jambyl region,Blood circulation system disease,0.385,total,overall
2009,9,Karaganda region,Blood circulation system disease,0.619,total,overall
2009,10,Kostanay region,Blood circulation system disease,0.513,total,overall
2009,11,Kyzylorda region,Blood circulation system disease,0.3164,total,overall
2009,12,Mangystau region,Blood circulation system disease,0.1706,total,overall
2009,13,South Kazakhstan region,Blood circulation system disease,0.2793,total,overall
2009,14,Pavlodar region,Blood circulation system disease,0.5536,total,overall
2009,15,North Kazakhstan region,Blood circulation system disease,0.5913,total,overall
2009,16,East Kazakhstan region,Blood circulation system disease,0.5949,total,overall
2009,1,Nur-Sultan,Blood circulation system disease,0.2082,total,overall
2009,2,Almaty,Blood circulation system disease,0.4419,total,overall
2010,3,Akmola region,Blood circulation system disease,0.4811,total,overall
2010,4,Aktobe region,Blood circulation system disease,0.3206,total,overall
2010,5,Almaty region,Blood circulation system disease,0.4217,total,overall
2010,6,Atyrau region,Blood circulation system disease,0.2008,total,overall
2010,7,West Kazakkhstan region,Blood circulation system disease,0.5113,total,overall
2010,8,Jambyl region,Blood circulation system disease,0.3347,total,overall
2010,9,Karaganda region,Blood circulation system disease,0.6553,total,overall
2010,10,Kostanay region,Blood circulation system disease,0.4962,total,overall
2010,11,Kyzylorda region,Blood circulation system disease,0.2843,total,overall
2010,12,Mangystau region,Blood circulation system disease,0.1877,total,overall
2010,13,South Kazakhstan region,Blood circulation system disease,0.233,total,overall
2010,14,Pavlodar region,Blood circulation system disease,0.5956,total,overall
2010,15,North Kazakhstan region,Blood circulation system disease,0.4656,total,overall
2010,16,East Kazakhstan region,Blood circulation system disease,0.5298,total,overall
2010,1,Nur-Sultan,Blood circulation system disease,0.1909,total,overall
2010,2,Almaty,Blood circulation system disease,0.4657,total,overall
2011,3,Akmola region,Blood circulation system disease,0.4693,total,overall
2011,4,Aktobe region,Blood circulation system disease,0.2495,total,overall
2011,5,Almaty region,Blood circulation system disease,0.3418,total,overall
2011,6,Atyrau region,Blood circulation system disease,0.2385,total,overall
2011,7,West Kazakkhstan region,Blood circulation system disease,0.3278,total,overall
2011,8,Jambyl region,Blood circulation system disease,0.3295,total,overall
2011,9,Karaganda region,Blood circulation system disease,0.5383,total,overall
2011,10,Kostanay region,Blood circulation system disease,0.4057,total,overall
2011,11,Kyzylorda region,Blood circulation system disease,0.2292,total,overall
2011,12,Mangystau region,Blood circulation system disease,0.1613,total,overall
2011,13,South Kazakhstan region,Blood circulation system disease,0.2244,total,overall
2011,14,Pavlodar region,Blood circulation system disease,0.4378,total,overall
2011,15,North Kazakhstan region,Blood circulation system disease,0.5593,total,overall
2011,16,East Kazakhstan region,Blood circulation system disease,0.4763,total,overall
2011,1,Nur-Sultan,Blood circulation system disease,0.1811,total,overall
2011,2,Almaty,Blood circulation system disease,0.4177,total,overall
2012,3,Akmola region,Blood circulation system disease,0.3847,total,overall
2012,4,Aktobe region,Blood circulation system disease,0.2151,total,overall
2012,5,Almaty region,Blood circulation system disease,0.2823,total,overall
2012,6,Atyrau region,Blood circulation system disease,0.2151,total,overall
2012,7,West Kazakkhstan region,Blood circulation system disease,0.3037,total,overall
2012,8,Jambyl region,Blood circulation system disease,0.2607,total,overall
2012,9,Karaganda region,Blood circulation system disease,0.483,total,overall
2012,10,Kostanay region,Blood circulation system disease,0.3353,total,overall
2012,11,Kyzylorda region,Blood circulation system disease,0.2167,total,overall
2012,12,Mangystau region,Blood circulation system disease,0.1403,total,overall
2012,13,South Kazakhstan region,Blood circulation system disease,0.1925,total,overall
2012,14,Pavlodar region,Blood circulation system disease,0.3531,total,overall
2012,15,North Kazakhstan region,Blood circulation system disease,0.53,total,overall
2012,16,East Kazakhstan region,Blood circulation system disease,0.3611,total,overall
2012,1,Nur-Sultan,Blood circulation system disease,0.1571,total,overall
2012,2,Almaty,Blood circulation system disease,0.354,total,overall
2013,3,Akmola region,Blood circulation system disease,0.2869,total,overall
2013,4,Aktobe region,Blood circulation system disease,0.1844,total,overall
2013,5,Almaty region,Blood circulation system disease,0.2311,total,overall
2013,6,Atyrau region,Blood circulation system disease,0.1768,total,overall
2013,7,West Kazakkhstan region,Blood circulation system disease,0.2482,total,overall
2013,8,Jambyl region,Blood circulation system disease,0.2505,total,overall
2013,9,Karaganda region,Blood circulation system disease,0.3718,total,overall
2013,10,Kostanay region,Blood circulation system disease,0.2722,total,overall
2013,11,Kyzylorda region,Blood circulation system disease,0.1448,total,overall
2013,12,Mangystau region,Blood circulation system disease,0.8726,total,overall
2013,13,South Kazakhstan region,Blood circulation system disease,0.1693,total,overall
2013,14,Pavlodar region,Blood circulation system disease,0.302,total,overall
2013,15,North Kazakhstan region,Blood circulation system disease,0.4744,total,overall
2013,16,East Kazakhstan region,Blood circulation system disease,0.3643,total,overall
2013,1,Nur-Sultan,Blood circulation system disease,0.1515,total,overall
2013,2,Almaty,Blood circulation system disease,0.228,total,overall
2014,3,Akmola region,Blood circulation system disease,0.2868,total,overall
2014,4,Aktobe region,Blood circulation system disease,0.1716,total,overall
2014,5,Almaty region,Blood circulation system disease,0.2008,total,overall
2014,6,Atyrau region,Blood circulation system disease,0.1505,total,overall
2014,7,West Kazakkhstan region,Blood circulation system disease,0.2287,total,overall
2014,8,Jambyl region,Blood circulation system disease,0.2102,total,overall
2014,9,Karaganda region,Blood circulation system disease,0.3155,total,overall
2014,10,Kostanay region,Blood circulation system disease,0.2158,total,overall
2014,11,Kyzylorda region,Blood circulation system disease,0.1176,total,overall
2014,12,Mangystau region,Blood circulation system disease,0.7687,total,overall
2014,13,South Kazakhstan region,Blood circulation system disease,0.1545,total,overall
2014,14,Pavlodar region,Blood circulation system disease,0.262,total,overall
2014,15,North Kazakhstan region,Blood circulation system disease,0.376,total,overall
2014,16,East Kazakhstan region,Blood circulation system disease,0.2786,total,overall
2014,1,Nur-Sultan,Blood circulation system disease,0.1458,total,overall
2014,2,Almaty,Blood circulation system disease,0.1751,total,overall
2015,3,Akmola region,Blood circulation system disease,0.3103,total,overall
2015,4,Aktobe region,Blood circulation system disease,0.1832,total,overall
2015,5,Almaty region,Blood circulation system disease,0.1523,total,overall
2015,6,Atyrau region,Blood circulation system disease,0.1293,total,overall
2015,7,West Kazakkhstan region,Blood circulation system disease,0.2218,total,overall
2015,8,Jambyl region,Blood circulation system disease,0.191,total,overall
2015,9,Karaganda region,Blood circulation system disease,0.3695,total,overall
2015,10,Kostanay region,Blood circulation system disease,0.1867,total,overall
2015,11,Kyzylorda region,Blood circulation system disease,0.1353,total,overall
2015,12,Mangystau region,Blood circulation system disease,0.6842,total,overall
2015,13,South Kazakhstan region,Blood circulation system disease,0.1476,total,overall
2015,14,Pavlodar region,Blood circulation system disease,0.2486,total,overall
2015,15,North Kazakhstan region,Blood circulation system disease,0.3194,total,overall
2015,16,East Kazakhstan region,Blood circulation system disease,0.2347,total,overall
2015,1,Nur-Sultan,Blood circulation system disease,0.1582,total,overall
2015,2,Almaty,Blood circulation system disease,0.1411,total,overall
2016,3,Akmola region,Blood circulation system disease,0.2729,total,overall
2016,4,Aktobe region,Blood circulation system disease,0.1678,total,overall
2016,5,Almaty region,Blood circulation system disease,0.1245,total,overall
2016,6,Atyrau region,Blood circulation system disease,0.1466,total,overall
2016,7,West Kazakkhstan region,Blood circulation system disease,0.2157,total,overall
2016,8,Jambyl region,Blood circulation system disease,0.1605,total,overall
