year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Blood circulation system disease,0.6661,rural,overall
2007,4,Aktobe region,Blood circulation system disease,0.4262,rural,overall
2007,5,Almaty region,Blood circulation system disease,0.4944,rural,overall
2007,6,Atyrau region,Blood circulation system disease,0.3217,rural,overall
2007,7,West Kazakkhstan region,Blood circulation system disease,0.4778,rural,overall
2007,8,Jambyl region,Blood circulation system disease,0.4381,rural,overall
2007,9,Karaganda region,Blood circulation system disease,0.5902,rural,overall
2007,10,Kostanay region,Blood circulation system disease,0.7163,rural,overall
2007,11,Kyzylorda region,Blood circulation system disease,0.3588,rural,overall
2007,12,Mangystau region,Blood circulation system disease,0.1229,rural,overall
2007,13,South Kazakhstan region,Blood circulation system disease,0.3067,rural,overall
2007,14,Pavlodar region,Blood circulation system disease,0.5911,rural,overall
2007,15,North Kazakhstan region,Blood circulation system disease,0.5884,rural,overall
2007,16,East Kazakhstan region,Blood circulation system disease,0.6567,rural,overall
2008,3,Akmola region,Blood circulation system disease,0.5795,rural,overall
2008,4,Aktobe region,Blood circulation system disease,0.3358,rural,overall
2008,5,Almaty region,Blood circulation system disease,0.4518,rural,overall
2008,6,Atyrau region,Blood circulation system disease,0.2734,rural,overall
2008,7,West Kazakkhstan region,Blood circulation system disease,0.4558,rural,overall
2008,8,Jambyl region,Blood circulation system disease,0.416,rural,overall
2008,9,Karaganda region,Blood circulation system disease,0.6225,rural,overall
2008,10,Kostanay region,Blood circulation system disease,0.6377,rural,overall
2008,11,Kyzylorda region,Blood circulation system disease,0.3325,rural,overall
2008,12,Mangystau region,Blood circulation system disease,0.2388,rural,overall
2008,13,South Kazakhstan region,Blood circulation system disease,0.299,rural,overall
2008,14,Pavlodar region,Blood circulation system disease,0.5707,rural,overall
2008,15,North Kazakhstan region,Blood circulation system disease,0.4517,rural,overall
2008,16,East Kazakhstan region,Blood circulation system disease,0.627,rural,overall
2009,3,Akmola region,Blood circulation system disease,0.528,rural,overall
2009,4,Aktobe region,Blood circulation system disease,0.3285,rural,overall
2009,5,Almaty region,Blood circulation system disease,0.3878,rural,overall
2009,6,Atyrau region,Blood circulation system disease,0.31,rural,overall
2009,7,West Kazakkhstan region,Blood circulation system disease,0.4558,rural,overall
2009,8,Jambyl region,Blood circulation system disease,0.3697,rural,overall
2009,9,Karaganda region,Blood circulation system disease,0.5042,rural,overall
2009,10,Kostanay region,Blood circulation system disease,0.4617,rural,overall
2009,11,Kyzylorda region,Blood circulation system disease,0.3373,rural,overall
2009,12,Mangystau region,Blood circulation system disease,0.1365,rural,overall
2009,13,South Kazakhstan region,Blood circulation system disease,0.2681,rural,overall
2009,14,Pavlodar region,Blood circulation system disease,0.5989,rural,overall
2009,15,North Kazakhstan region,Blood circulation system disease,0.5696,rural,overall
2009,16,East Kazakhstan region,Blood circulation system disease,0.5491,rural,overall
2010,3,Akmola region,Blood circulation system disease,0.4107,rural,overall
2010,4,Aktobe region,Blood circulation system disease,0.3079,rural,overall
2010,5,Almaty region,Blood circulation system disease,0.393,rural,overall
2010,6,Atyrau region,Blood circulation system disease,0.1983,rural,overall
