year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Digestive system diseases,0.0563,total,overall
2007,4,Aktobe region,Digestive system diseases,0.0505,total,overall
2007,5,Almaty region,Digestive system diseases,0.0457,total,overall
2007,6,Atyrau region,Digestive system diseases,0.0451,total,overall
2007,7,West Kazakkhstan region,Digestive system diseases,0.0661,total,overall
2007,8,Jambyl region,Digestive system diseases,0.034,total,overall
2007,9,Karaganda region,Digestive system diseases,0.0714,total,overall
2007,10,Kostanay region,Digestive system diseases,0.0621,total,overall
2007,11,Kyzylorda region,Digestive system diseases,0.021,total,overall
2007,12,Mangystau region,Digestive system diseases,0.0306,total,overall
2007,13,South Kazakhstan region,Digestive system diseases,0.0496,total,overall
2007,14,Pavlodar region,Digestive system diseases,0.053,total,overall
2007,15,North Kazakhstan region,Digestive system diseases,0.0564,total,overall
2007,16,East Kazakhstan region,Digestive system diseases,0.0571,total,overall
2007,1,Nur-Sultan,Digestive system diseases,0.0345,total,overall
2007,2,Almaty,Digestive system diseases,0.0497,total,overall
2008,3,Akmola region,Digestive system diseases,0.0591,total,overall
2008,4,Aktobe region,Digestive system diseases,0.0434,total,overall
2008,5,Almaty region,Digestive system diseases,0.0462,total,overall
2008,6,Atyrau region,Digestive system diseases,0.0334,total,overall
2008,7,West Kazakkhstan region,Digestive system diseases,0.0529,total,overall
2008,8,Jambyl region,Digestive system diseases,0.0402,total,overall
2008,9,Karaganda region,Digestive system diseases,0.065,total,overall
2008,10,Kostanay region,Digestive system diseases,0.0658,total,overall
2008,11,Kyzylorda region,Digestive system diseases,0.0215,total,overall
2008,12,Mangystau region,Digestive system diseases,0.0324,total,overall
2008,13,South Kazakhstan region,Digestive system diseases,0.0499,total,overall
2008,14,Pavlodar region,Digestive system diseases,0.0481,total,overall
2008,15,North Kazakhstan region,Digestive system diseases,0.0521,total,overall
2008,16,East Kazakhstan region,Digestive system diseases,0.0489,total,overall
2008,1,Nur-Sultan,Digestive system diseases,0.025,total,overall
2008,2,Almaty,Digestive system diseases,0.0456,total,overall
2009,3,Akmola region,Digestive system diseases,0.0638,total,overall
2009,4,Aktobe region,Digestive system diseases,0.0681,total,overall
2009,5,Almaty region,Digestive system diseases,0.0507,total,overall
2009,6,Atyrau region,Digestive system diseases,0.048,total,overall
2009,7,West Kazakkhstan region,Digestive system diseases,0.0651,total,overall
2009,8,Jambyl region,Digestive system diseases,0.0443,total,overall
2009,9,Karaganda region,Digestive system diseases,0.0586,total,overall
2009,10,Kostanay region,Digestive system diseases,0.0945,total,overall
2009,11,Kyzylorda region,Digestive system diseases,0.0227,total,overall
2009,12,Mangystau region,Digestive system diseases,0.0304,total,overall
2009,13,South Kazakhstan region,Digestive system diseases,0.0458,total,overall
2009,14,Pavlodar region,Digestive system diseases,0.0482,total,overall
2009,15,North Kazakhstan region,Digestive system diseases,0.0672,total,overall
2009,16,East Kazakhstan region,Digestive system diseases,0.0518,total,overall
2009,1,Nur-Sultan,Digestive system diseases,0.025,total,overall
2009,2,Almaty,Digestive system diseases,0.0345,total,overall
2010,3,Akmola region,Digestive system diseases,0.0682,total,overall
2010,4,Aktobe region,Digestive system diseases,0.0428,total,overall
2010,5,Almaty region,Digestive system diseases,0.0438,total,overall
2010,6,Atyrau region,Digestive system diseases,0.0331,total,overall
2010,7,West Kazakkhstan region,Digestive system diseases,0.0518,total,overall
2010,8,Jambyl region,Digestive system diseases,0.0469,total,overall
2010,9,Karaganda region,Digestive system diseases,0.062,total,overall
2010,10,Kostanay region,Digestive system diseases,0.0697,total,overall
2010,11,Kyzylorda region,Digestive system diseases,0.0161,total,overall
2010,12,Mangystau region,Digestive system diseases,0.0313,total,overall
2010,13,South Kazakhstan region,Digestive system diseases,0.0471,total,overall
2010,14,Pavlodar region,Digestive system diseases,0.0554,total,overall
