year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Digestive system diseases,0.047,rural,overall
2007,4,Aktobe region,Digestive system diseases,0.0493,rural,overall
2007,5,Almaty region,Digestive system diseases,0.0455,rural,overall
2007,6,Atyrau region,Digestive system diseases,0.0416,rural,overall
2007,7,West Kazakkhstan region,Digestive system diseases,0.051,rural,overall
2007,8,Jambyl region,Digestive system diseases,0.0255,rural,overall
2007,9,Karaganda region,Digestive system diseases,0.0518,rural,overall
2007,10,Kostanay region,Digestive system diseases,0.0593,rural,overall
2007,11,Kyzylorda region,Digestive system diseases,0.0233,rural,overall
2007,12,Mangystau region,Digestive system diseases,0.0221,rural,overall
2007,13,South Kazakhstan region,Digestive system diseases,0.0468,rural,overall
2007,14,Pavlodar region,Digestive system diseases,0.039,rural,overall
2007,15,North Kazakhstan region,Digestive system diseases,0.0501,rural,overall
2007,16,East Kazakhstan region,Digestive system diseases,0.0444,rural,overall
2008,3,Akmola region,Digestive system diseases,0.0496,rural,overall
2008,4,Aktobe region,Digestive system diseases,0.0451,rural,overall
2008,5,Almaty region,Digestive system diseases,0.0442,rural,overall
2008,6,Atyrau region,Digestive system diseases,0.0263,rural,overall
2008,7,West Kazakkhstan region,Digestive system diseases,0.0452,rural,overall
2008,8,Jambyl region,Digestive system diseases,0.0304,rural,overall
2008,9,Karaganda region,Digestive system diseases,0.0369,rural,overall
2008,10,Kostanay region,Digestive system diseases,0.0593,rural,overall
2008,11,Kyzylorda region,Digestive system diseases,0.0212,rural,overall
2008,12,Mangystau region,Digestive system diseases,0.0191,rural,overall
2008,13,South Kazakhstan region,Digestive system diseases,0.0452,rural,overall
2008,14,Pavlodar region,Digestive system diseases,0.0327,rural,overall
2008,15,North Kazakhstan region,Digestive system diseases,0.0518,rural,overall
2008,16,East Kazakhstan region,Digestive system diseases,0.0354,rural,overall
2009,3,Akmola region,Digestive system diseases,0.0547,rural,overall
2009,4,Aktobe region,Digestive system diseases,0.0817,rural,overall
2009,5,Almaty region,Digestive system diseases,0.0458,rural,overall
2009,6,Atyrau region,Digestive system diseases,0.0511,rural,overall
2009,7,West Kazakkhstan region,Digestive system diseases,0.0611,rural,overall
2009,8,Jambyl region,Digestive system diseases,0.0366,rural,overall
2009,9,Karaganda region,Digestive system diseases,0.0379,rural,overall
2009,10,Kostanay region,Digestive system diseases,0.0954,rural,overall
2009,11,Kyzylorda region,Digestive system diseases,0.0222,rural,overall
2009,12,Mangystau region,Digestive system diseases,0.0238,rural,overall
2009,13,South Kazakhstan region,Digestive system diseases,0.0395,rural,overall
2009,14,Pavlodar region,Digestive system diseases,0.0397,rural,overall
2009,15,North Kazakhstan region,Digestive system diseases,0.0716,rural,overall
2009,16,East Kazakhstan region,Digestive system diseases,0.0498,rural,overall
2010,3,Akmola region,Digestive system diseases,0.0641,rural,overall
2010,4,Aktobe region,Digestive system diseases,0.0479,rural,overall
2010,5,Almaty region,Digestive system diseases,0.0425,rural,overall
2010,6,Atyrau region,Digestive system diseases,0.0316,rural,overall
2010,7,West Kazakkhstan region,Digestive system diseases,0.0482,rural,overall
2010,8,Jambyl region,Digestive system diseases,0.0378,rural,overall
2010,9,Karaganda region,Digestive system diseases,0.0356,rural,overall
2010,10,Kostanay region,Digestive system diseases,0.0668,rural,overall
2010,11,Kyzylorda region,Digestive system diseases,0.0144,rural,overall
2010,12,Mangystau region,Digestive system diseases,0.0158,rural,overall
2010,13,South Kazakhstan region,Digestive system diseases,0.0425,rural,overall
2010,14,Pavlodar region,Digestive system diseases,0.0464,rural,overall
2010,15,North Kazakhstan region,Digestive system diseases,0.0655,rural,overall
2010,16,East Kazakhstan region,Digestive system diseases,0.0436,rural,overall
2011,3,Akmola region,Digestive system diseases,0.0741,rural,overall
2011,4,Aktobe region,Digestive system diseases,0.1072,rural,overall
