year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Digestive system diseases,0.0671,urban,overall
2007,4,Aktobe region,Digestive system diseases,0.0514,urban,overall
2007,5,Almaty region,Digestive system diseases,0.0464,urban,overall
2007,6,Atyrau region,Digestive system diseases,0.0482,urban,overall
2007,7,West Kazakkhstan region,Digestive system diseases,0.0853,urban,overall
2007,8,Jambyl region,Digestive system diseases,0.0452,urban,overall
2007,9,Karaganda region,Digestive system diseases,0.0759,urban,overall
2007,10,Kostanay region,Digestive system diseases,0.0647,urban,overall
2007,11,Kyzylorda region,Digestive system diseases,0.0185,urban,overall
2007,12,Mangystau region,Digestive system diseases,0.0362,urban,overall
2007,13,South Kazakhstan region,Digestive system diseases,0.0539,urban,overall
2007,14,Pavlodar region,Digestive system diseases,0.0602,urban,overall
2007,15,North Kazakhstan region,Digestive system diseases,0.0682,urban,overall
2007,16,East Kazakhstan region,Digestive system diseases,0.0667,urban,overall
2007,1,Nur-Sultan,Digestive system diseases,0.0345,urban,overall
2007,2,Almaty,Digestive system diseases,0.0497,urban,overall
2008,3,Akmola region,Digestive system diseases,0.0704,urban,overall
2008,4,Aktobe region,Digestive system diseases,0.0422,urban,overall
2008,5,Almaty region,Digestive system diseases,0.0527,urban,overall
2008,6,Atyrau region,Digestive system diseases,0.0413,urban,overall
2008,7,West Kazakkhstan region,Digestive system diseases,0.0622,urban,overall
2008,8,Jambyl region,Digestive system diseases,0.0541,urban,overall
2008,9,Karaganda region,Digestive system diseases,0.0731,urban,overall
2008,10,Kostanay region,Digestive system diseases,0.0726,urban,overall
2008,11,Kyzylorda region,Digestive system diseases,0.0221,urban,overall
2008,12,Mangystau region,Digestive system diseases,0.0435,urban,overall
2008,13,South Kazakhstan region,Digestive system diseases,0.0575,urban,overall
2008,14,Pavlodar region,Digestive system diseases,0.0557,urban,overall
2008,15,North Kazakhstan region,Digestive system diseases,0.0526,urban,overall
2008,16,East Kazakhstan region,Digestive system diseases,0.0596,urban,overall
2008,1,Nur-Sultan,Digestive system diseases,0.025,urban,overall
2008,2,Almaty,Digestive system diseases,0.0456,urban,overall
2009,3,Akmola region,Digestive system diseases,0.0742,urban,overall
2009,4,Aktobe region,Digestive system diseases,0.0594,urban,overall
2009,5,Almaty region,Digestive system diseases,0.0666,urban,overall
2009,6,Atyrau region,Digestive system diseases,0.0444,urban,overall
2009,7,West Kazakkhstan region,Digestive system diseases,0.0696,urban,overall
2009,8,Jambyl region,Digestive system diseases,0.0556,urban,overall
2009,9,Karaganda region,Digestive system diseases,0.0646,urban,overall
2009,10,Kostanay region,Digestive system diseases,0.0936,urban,overall
2009,11,Kyzylorda region,Digestive system diseases,0.0233,urban,overall
2009,12,Mangystau region,Digestive system diseases,0.0361,urban,overall
2009,13,South Kazakhstan region,Digestive system diseases,0.0555,urban,overall
2009,14,Pavlodar region,Digestive system diseases,0.0521,urban,overall
2009,15,North Kazakhstan region,Digestive system diseases,0.0606,urban,overall
2009,16,East Kazakhstan region,Digestive system diseases,0.0533,urban,overall
2009,1,Nur-Sultan,Digestive system diseases,0.025,urban,overall
2009,2,Almaty,Digestive system diseases,0.0345,urban,overall
2010,3,Akmola region,Digestive system diseases,0.073,urban,overall
2010,4,Aktobe region,Digestive system diseases,0.0396,urban,overall
2010,5,Almaty region,Digestive system diseases,0.048,urban,overall
2010,6,Atyrau region,Digestive system diseases,0.0347,urban,overall
2010,7,West Kazakkhstan region,Digestive system diseases,0.0558,urban,overall
2010,8,Jambyl region,Digestive system diseases,0.0603,urban,overall
2010,9,Karaganda region,Digestive system diseases,0.0694,urban,overall
2010,10,Kostanay region,Digestive system diseases,0.0726,urban,overall
2010,11,Kyzylorda region,Digestive system diseases,0.0184,urban,overall
2010,12,Mangystau region,Digestive system diseases,0.0451,urban,overall
2010,13,South Kazakhstan region,Digestive system diseases,0.0541,urban,overall
2010,14,Pavlodar region,Digestive system diseases,0.0596,urban,overall
2010,15,North Kazakhstan region,Digestive system diseases,0.0646,urban,overall
2010,16,East Kazakhstan region,Digestive system diseases,0.0645,urban,overall
2010,1,Nur-Sultan,Digestive system diseases,0.0244,urban,overall
2010,2,Almaty,Digestive system diseases,0.0409,urban,overall
2011,3,Akmola region,Digestive system diseases,0.0842,urban,overall
2011,4,Aktobe region,Digestive system diseases,0.0814,urban,overall
2011,5,Almaty region,Digestive system diseases,0.0831,urban,overall
2011,6,Atyrau region,Digestive system diseases,0.0563,urban,overall
2011,7,West Kazakkhstan region,Digestive system diseases,0.1158,urban,overall
2011,8,Jambyl region,Digestive system diseases,0.0559,urban,overall
2011,9,Karaganda region,Digestive system diseases,0.0849,urban,overall
2011,10,Kostanay region,Digestive system diseases,0.1263,urban,overall
2011,11,Kyzylorda region,Digestive system diseases,0.0207,urban,overall
2011,12,Mangystau region,Digestive system diseases,0.0359,urban,overall
2011,13,South Kazakhstan region,Digestive system diseases,0.0658,urban,overall
2011,14,Pavlodar region,Digestive system diseases,0.0631,urban,overall
2011,15,North Kazakhstan region,Digestive system diseases,0.0939,urban,overall
2011,16,East Kazakhstan region,Digestive system diseases,0.0736,urban,overall
2011,1,Nur-Sultan,Digestive system diseases,0.0238,urban,overall
2011,2,Almaty,Digestive system diseases,0.0454,urban,overall
2012,3,Akmola region,Digestive system diseases,0.0778,urban,overall
2012,4,Aktobe region,Digestive system diseases,0.0947,urban,overall
2012,5,Almaty region,Digestive system diseases,0.116,urban,overall
2012,6,Atyrau region,Digestive system diseases,0.0613,urban,overall
2012,7,West Kazakkhstan region,Digestive system diseases,0.135,urban,overall
2012,8,Jambyl region,Digestive system diseases,0.0624,urban,overall
2012,9,Karaganda region,Digestive system diseases,0.097,urban,overall
2012,10,Kostanay region,Digestive system diseases,0.1515,urban,overall
2012,11,Kyzylorda region,Digestive system diseases,0.0346,urban,overall
2012,12,Mangystau region,Digestive system diseases,0.0421,urban,overall
2012,13,South Kazakhstan region,Digestive system diseases,0.0601,urban,overall
2012,14,Pavlodar region,Digestive system diseases,0.0645,urban,overall
2012,15,North Kazakhstan region,Digestive system diseases,0.1,urban,overall
2012,16,East Kazakhstan region,Digestive system diseases,0.0752,urban,overall
2012,1,Nur-Sultan,Digestive system diseases,0.0274,urban,overall
2012,2,Almaty,Digestive system diseases,0.0376,urban,overall
2013,3,Akmola region,Digestive system diseases,0.0753,urban,overall
2013,4,Aktobe region,Digestive system diseases,0.0829,urban,overall
2013,5,Almaty region,Digestive system diseases,0.1165,urban,overall
2013,6,Atyrau region,Digestive system diseases,0.0829,urban,overall
2013,7,West Kazakkhstan region,Digestive system diseases,0.1423,urban,overall
2013,8,Jambyl region,Digestive system diseases,0.0609,urban,overall
2013,9,Karaganda region,Digestive system diseases,0.0958,urban,overall
2013,10,Kostanay region,Digestive system diseases,0.1334,urban,overall
2013,11,Kyzylorda region,Digestive system diseases,0.0338,urban,overall
2013,12,Mangystau region,Digestive system diseases,0.052,urban,overall
2013,13,South Kazakhstan region,Digestive system diseases,0.0625,urban,overall
2013,14,Pavlodar region,Digestive system diseases,0.0665,urban,overall
2013,15,North Kazakhstan region,Digestive system diseases,0.1036,urban,overall
2013,16,East Kazakhstan region,Digestive system diseases,0.0913,urban,overall
2013,1,Nur-Sultan,Digestive system diseases,0.0256,urban,overall
2013,2,Almaty,Digestive system diseases,0.0559,urban,overall
2014,3,Akmola region,Digestive system diseases,0.0657,urban,overall
2014,4,Aktobe region,Digestive system diseases,0.0937,urban,overall
2014,5,Almaty region,Digestive system diseases,0.1117,urban,overall
2014,6,Atyrau region,Digestive system diseases,0.0779,urban,overall
2014,7,West Kazakkhstan region,Digestive system diseases,0.1304,urban,overall
2014,8,Jambyl region,Digestive system diseases,0.0658,urban,overall
2014,9,Karaganda region,Digestive system diseases,0.0907,urban,overall
2014,10,Kostanay region,Digestive system diseases,0.1333,urban,overall
2014,11,Kyzylorda region,Digestive system diseases,0.0343,urban,overall
