year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Blood circulation system disease,0.6967,total,overall
2007,4,Aktobe region,Blood circulation system disease,0.4529,total,overall
2007,5,Almaty region,Blood circulation system disease,0.5425,total,overall
2007,6,Atyrau region,Blood circulation system disease,0.3213,total,overall
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5258,total,overall
2007,8,Jambyl region,Blood circulation system disease,0.4527,total,overall
2007,9,Karaganda region,Blood circulation system disease,0.7395,total,overall
2007,10,Kostanay region,Blood circulation system disease,0.7507,total,overall
2007,11,Kyzylorda region,Blood circulation system disease,0.3838,total,overall
2007,12,Mangystau region,Blood circulation system disease,0.1917,total,overall
2007,13,South Kazakhstan region,Blood circulation system disease,0.3432,total,overall
2007,14,Pavlodar region,Blood circulation system disease,0.5983,total,overall
2007,15,North Kazakhstan region,Blood circulation system disease,0.6332,total,overall
2007,16,East Kazakhstan region,Blood circulation system disease,0.7388,total,overall
2007,1,Nur-Sultan,Blood circulation system disease,0.2540,total,overall
2007,2,Almaty,Blood circulation system disease,0.5222,total,overall
2007,3,Akmola region,Blood circulation system disease,0.6705,total,women
2007,4,Aktobe region,Blood circulation system disease,0.4072,total,women
2007,5,Almaty region,Blood circulation system disease,0.5192,total,women
2007,6,Atyrau region,Blood circulation system disease,0.2476,total,women
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5162,total,women
2007,8,Jambyl region,Blood circulation system disease,0.4238,total,women
2007,9,Karaganda region,Blood circulation system disease,0.7083,total,women
2007,10,Kostanay region,Blood circulation system disease,0.6946,total,women
2007,11,Kyzylorda region,Blood circulation system disease,0.3701,total,women
2007,12,Mangystau region,Blood circulation system disease,0.1530,total,women
2007,13,South Kazakhstan region,Blood circulation system disease,0.3343,total,women
2007,14,Pavlodar region,Blood circulation system disease,0.5611,total,women
2007,15,North Kazakhstan region,Blood circulation system disease,0.5706,total,women
2007,16,East Kazakhstan region,Blood circulation system disease,0.7277,total,women
2007,1,Nur-Sultan,Blood circulation system disease,0.2432,total,women
2007,2,Almaty,Blood circulation system disease,0.5268,total,women
2007,3,Akmola region,Blood circulation system disease,0.7250,total,men
2007,4,Aktobe region,Blood circulation system disease,0.5018,total,men
2007,5,Almaty region,Blood circulation system disease,0.5666,total,men
2007,6,Atyrau region,Blood circulation system disease,0.3985,total,men
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5361,total,men
2007,8,Jambyl region,Blood circulation system disease,0.4833,total,men
2007,9,Karaganda region,Blood circulation system disease,0.7746,total,men
2007,10,Kostanay region,Blood circulation system disease,0.8133,total,men
2007,11,Kyzylorda region,Blood circulation system disease,0.3977,total,men
2007,12,Mangystau region,Blood circulation system disease,0.2314,total,men
2007,13,South Kazakhstan region,Blood circulation system disease,0.3524,total,men
2007,14,Pavlodar region,Blood circulation system disease,0.6399,total,men
2007,15,North Kazakhstan region,Blood circulation system disease,0.7009,total,men
2007,16,East Kazakhstan region,Blood circulation system disease,0.7511,total,men
2007,1,Nur-Sultan,Blood circulation system disease,0.2652,total,men
2007,2,Almaty,Blood circulation system disease,0.5167,total,men
2007,3,Akmola region,Blood circulation system disease,0.7349,urban,overall
2007,4,Aktobe region,Blood circulation system disease,0.4759,urban,overall
2007,5,Almaty region,Blood circulation system disease,0.7013,urban,overall
2007,6,Atyrau region,Blood circulation system disease,0.3209,urban,overall
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5867,urban,overall
2007,8,Jambyl region,Blood circulation system disease,0.4728,urban,overall
2007,9,Karaganda region,Blood circulation system disease,0.7829,urban,overall
2007,10,Kostanay region,Blood circulation system disease,0.7881,urban,overall
2007,11,Kyzylorda region,Blood circulation system disease,0.4299,urban,overall
2007,12,Mangystau region,Blood circulation system disease,0.2417,urban,overall
2007,13,South Kazakhstan region,Blood circulation system disease,0.4022,urban,overall
2007,14,Pavlodar region,Blood circulation system disease,0.6021,urban,overall
2007,15,North Kazakhstan region,Blood circulation system disease,0.7164,urban,overall
2007,16,East Kazakhstan region,Blood circulation system disease,0.8092,urban,overall
2007,1,Nur-Sultan,Blood circulation system disease,0.254,urban,overall
2007,2,Almaty,Blood circulation system disease,0.5222,urban,overall
2007,3,Akmola region,Blood circulation system disease,0.6879,urban,women
2007,4,Aktobe region,Blood circulation system disease,0.4211,urban,women
2007,5,Almaty region,Blood circulation system disease,0.6444,urban,women
2007,6,Atyrau region,Blood circulation system disease,0.2415,urban,women
2007,7,West Kazakkhstan region,Blood circulation system disease,0.5457,urban,women
2007,8,Jambyl region,Blood circulation system disease,0.4224,urban,women
2007,9,Karaganda region,Blood circulation system disease,0.7396,urban,women
2007,10,Kostanay region,Blood circulation system disease,0.7137,urban,women
2007,11,Kyzylorda region,Blood circulation system disease,0.3908,urban,women
2007,12,Mangystau region,Blood circulation system disease,0.1803,urban,women
2007,13,South Kazakhstan region,Blood circulation system disease,0.3914,urban,women
2007,14,Pavlodar region,Blood circulation system disease,0.5447,urban,women
2007,15,North Kazakhstan region,Blood circulation system disease,0.5872,urban,women
2007,16,East Kazakhstan region,Blood circulation system disease,0.7842,urban,women
2007,1,Nur-Sultan,Blood circulation system disease,0.2432,urban,women
2007,2,Almaty,Blood circulation system disease,0.5268,urban,women
2007,3,Akmola region,Blood circulation system disease,0.7890,urban,men
2007,4,Aktobe region,Blood circulation system disease,0.5382,urban,men
2007,5,Almaty region,Blood circulation system disease,0.7660,urban,men
2007,6,Atyrau region,Blood circulation system disease,0.4086,urban,men
2007,7,West Kazakkhstan region,Blood circulation system disease,0.6348,urban,men
2007,8,Jambyl region,Blood circulation system disease,0.5314,urban,men
2007,9,Karaganda region,Blood circulation system disease,0.8334,urban,men
2007,10,Kostanay region,Blood circulation system disease,0.8774,urban,men
2007,11,Kyzylorda region,Blood circulation system disease,0.4719,urban,men
2007,12,Mangystau region,Blood circulation system disease,0.3059,urban,men
2007,13,South Kazakhstan region,Blood circulation system disease,0.4140,urban,men
2007,14,Pavlodar region,Blood circulation system disease,0.6697,urban,men
2007,15,North Kazakhstan region,Blood circulation system disease,0.8705,urban,men
2007,16,East Kazakhstan region,Blood circulation system disease,0.8395,urban,men
2007,1,Nur-Sultan,Blood circulation system disease,0.2652,urban,men
2007,2,Almaty,Blood circulation system disease,0.5167,urban,men
2007,3,Akmola region,Blood circulation system disease,0.6661,rural,overall
2007,4,Aktobe region,Blood circulation system disease,0.4262,rural,overall
2007,5,Almaty region,Blood circulation system disease,0.4944,rural,overall
2007,6,Atyrau region,Blood circulation system disease,0.3217,rural,overall
2007,7,West Kazakkhstan region,Blood circulation system disease,0.4778,rural,overall
2007,8,Jambyl region,Blood circulation system disease,0.4381,rural,overall
2007,9,Karaganda region,Blood circulation system disease,0.5902,rural,overall
2007,10,Kostanay region,Blood circulation system disease,0.7163,rural,overall
2007,11,Kyzylorda region,Blood circulation system disease,0.3588,rural,overall
2007,12,Mangystau region,Blood circulation system disease,0.1229,rural,overall
2007,13,South Kazakhstan region,Blood circulation system disease,0.3067,rural,overall
2007,14,Pavlodar region,Blood circulation system disease,0.5911,rural,overall
2007,15,North Kazakhstan region,Blood circulation system disease,0.5884,rural,overall
2007,16,East Kazakhstan region,Blood circulation system disease,0.6567,rural,overall
2007,3,Akmola region,Blood circulation system disease,0.6558,rural,women
2007,4,Aktobe region,Blood circulation system disease,0.3902,rural,women
2007,5,Almaty region,Blood circulation system disease,0.4790,rural,women
2007,6,Atyrau region,Blood circulation system disease,0.2534,rural,women
2007,7,West Kazakkhstan region,Blood circulation system disease,0.4911,rural,women
2007,8,Jambyl region,Blood circulation system disease,0.4249,rural,women
2007,9,Karaganda region,Blood circulation system disease,0.5932,rural,women
2007,10,Kostanay region,Blood circulation system disease,0.6758,rural,women
2007,11,Kyzylorda region,Blood circulation system disease,0.3582,rural,women
2007,12,Mangystau region,Blood circulation system disease,0.1146,rural,women
2007,13,South Kazakhstan region,Blood circulation system disease,0.2974,rural,women
2007,14,Pavlodar region,Blood circulation system disease,0.5944,rural,women
2007,15,North Kazakhstan region,Blood circulation system disease,0.5610,rural,women
2007,16,East Kazakhstan region,Blood circulation system disease,0.6557,rural,women
2007,3,Akmola region,Blood circulation system disease,0.6766,rural,men
2007,4,Aktobe region,Blood circulation system disease,0.4623,rural,men
2007,5,Almaty region,Blood circulation system disease,0.5100,rural,men
2007,6,Atyrau region,Blood circulation system disease,0.3898,rural,men
2007,7,West Kazakkhstan region,Blood circulation system disease,0.4645,rural,men
2007,8,Jambyl region,Blood circulation system disease,0.4513,rural,men
2007,9,Karaganda region,Blood circulation system disease,0.5871,rural,men
2007,10,Kostanay region,Blood circulation system disease,0.7585,rural,men
2007,11,Kyzylorda region,Blood circulation system disease,0.3593,rural,men
2007,12,Mangystau region,Blood circulation system disease,0.1311,rural,men
2007,13,South Kazakhstan region,Blood circulation system disease,0.3158,rural,men
2007,14,Pavlodar region,Blood circulation system disease,0.5876,rural,men
2007,15,North Kazakhstan region,Blood circulation system disease,0.6165,rural,men
2007,16,East Kazakhstan region,Blood circulation system disease,0.6578,rural,men
2007,3,Akmola region,Neoplasm,0.1528,total,overall
2007,4,Aktobe region,Neoplasm,0.1148,total,overall
2007,5,Almaty region,Neoplasm,0.0984,total,overall
2007,6,Atyrau region,Neoplasm,0.0892,total,overall
2007,7,West Kazakkhstan region,Neoplasm,0.1523,total,overall
2007,8,Jambyl region,Neoplasm,0.0931,total,overall
2007,9,Karaganda region,Neoplasm,0.1410,total,overall
2007,10,Kostanay region,Neoplasm,0.1483,total,overall
2007,11,Kyzylorda region,Neoplasm,0.0873,total,overall
2007,12,Mangystau region,Neoplasm,0.0850,total,overall
2007,13,South Kazakhstan region,Neoplasm,0.0648,total,overall
2007,14,Pavlodar region,Neoplasm,0.1675,total,overall
2007,15,North Kazakhstan region,Neoplasm,0.1544,total,overall
