year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Neoplasm,0.1528,total,overall
2007,4,Aktobe region,Neoplasm,0.1148,total,overall
2007,5,Almaty region,Neoplasm,0.0984,total,overall
2007,6,Atyrau region,Neoplasm,0.0892,total,overall
2007,7,West Kazakkhstan region,Neoplasm,0.1523,total,overall
2007,8,Jambyl region,Neoplasm,0.0931,total,overall
2007,9,Karaganda region,Neoplasm,0.141,total,overall
2007,10,Kostanay region,Neoplasm,0.1483,total,overall
2007,11,Kyzylorda region,Neoplasm,0.0873,total,overall
2007,12,Mangystau region,Neoplasm,0.085,total,overall
2007,13,South Kazakhstan region,Neoplasm,0.0648,total,overall
2007,14,Pavlodar region,Neoplasm,0.1675,total,overall
2007,15,North Kazakhstan region,Neoplasm,0.1544,total,overall
2007,16,East Kazakhstan region,Neoplasm,0.1671,total,overall
2007,1,Nur-Sultan,Neoplasm,0.0843,total,overall
2007,2,Almaty,Neoplasm,0.1241,total,overall
2008,3,Akmola region,Neoplasm,0.136,total,overall
2008,4,Aktobe region,Neoplasm,0.1094,total,overall
2008,5,Almaty region,Neoplasm,0.0896,total,overall
2008,6,Atyrau region,Neoplasm,0.0858,total,overall
2008,7,West Kazakkhstan region,Neoplasm,0.1572,total,overall
2008,8,Jambyl region,Neoplasm,0.0933,total,overall
2008,9,Karaganda region,Neoplasm,0.1345,total,overall
2008,10,Kostanay region,Neoplasm,0.1503,total,overall
2008,11,Kyzylorda region,Neoplasm,0.0915,total,overall
2008,12,Mangystau region,Neoplasm,0.0735,total,overall
2008,13,South Kazakhstan region,Neoplasm,0.0658,total,overall
2008,14,Pavlodar region,Neoplasm,0.1687,total,overall
2008,15,North Kazakhstan region,Neoplasm,0.1744,total,overall
2008,16,East Kazakhstan region,Neoplasm,0.1648,total,overall
2008,1,Nur-Sultan,Neoplasm,0.08,total,overall
2008,2,Almaty,Neoplasm,0.1266,total,overall
2009,3,Akmola region,Neoplasm,0.1429,total,overall
2009,4,Aktobe region,Neoplasm,0.1068,total,overall
2009,5,Almaty region,Neoplasm,0.0883,total,overall
2009,6,Atyrau region,Neoplasm,0.0901,total,overall
2009,7,West Kazakkhstan region,Neoplasm,0.1551,total,overall
2009,8,Jambyl region,Neoplasm,0.0957,total,overall
2009,9,Karaganda region,Neoplasm,0.1371,total,overall
2009,10,Kostanay region,Neoplasm,0.1277,total,overall
2009,11,Kyzylorda region,Neoplasm,0.0874,total,overall
2009,12,Mangystau region,Neoplasm,0.0678,total,overall
2009,13,South Kazakhstan region,Neoplasm,0.0602,total,overall
2009,14,Pavlodar region,Neoplasm,0.1571,total,overall
2009,15,North Kazakhstan region,Neoplasm,0.1692,total,overall
2009,16,East Kazakhstan region,Neoplasm,0.1628,total,overall
2009,1,Nur-Sultan,Neoplasm,0.0829,total,overall
2009,2,Almaty,Neoplasm,0.1263,total,overall
2010,3,Akmola region,Neoplasm,0.1479,total,overall
2010,4,Aktobe region,Neoplasm,0.0979,total,overall
2010,5,Almaty region,Neoplasm,0.0866,total,overall
2010,6,Atyrau region,Neoplasm,0.0902,total,overall
2010,7,West Kazakkhstan region,Neoplasm,0.1467,total,overall
2010,8,Jambyl region,Neoplasm,0.095,total,overall
2010,9,Karaganda region,Neoplasm,0.1324,total,overall
2010,10,Kostanay region,Neoplasm,0.1276,total,overall
2010,11,Kyzylorda region,Neoplasm,0.089,total,overall
2010,12,Mangystau region,Neoplasm,0.0676,total,overall
2010,13,South Kazakhstan region,Neoplasm,0.0589,total,overall
2010,14,Pavlodar region,Neoplasm,0.1464,total,overall
2010,15,North Kazakhstan region,Neoplasm,0.1499,total,overall
2010,16,East Kazakhstan region,Neoplasm,0.1666,total,overall
2010,1,Nur-Sultan,Neoplasm,0.0836,total,overall
2010,2,Almaty,Neoplasm,0.1325,total,overall
2011,3,Akmola region,Neoplasm,0.1445,total,overall
2011,4,Aktobe region,Neoplasm,0.0964,total,overall
2011,5,Almaty region,Neoplasm,0.0777,total,overall
2011,6,Atyrau region,Neoplasm,0.094,total,overall
2011,7,West Kazakkhstan region,Neoplasm,0.1124,total,overall
2011,8,Jambyl region,Neoplasm,0.0941,total,overall
2011,9,Karaganda region,Neoplasm,0.1386,total,overall
2011,10,Kostanay region,Neoplasm,0.1193,total,overall
2011,11,Kyzylorda region,Neoplasm,0.0775,total,overall
2011,12,Mangystau region,Neoplasm,0.0598,total,overall
2011,13,South Kazakhstan region,Neoplasm,0.0561,total,overall
2011,14,Pavlodar region,Neoplasm,0.1408,total,overall
2011,15,North Kazakhstan region,Neoplasm,0.1343,total,overall
2011,16,East Kazakhstan region,Neoplasm,0.1661,total,overall
2011,1,Nur-Sultan,Neoplasm,0.0772,total,overall
2011,2,Almaty,Neoplasm,0.1218,total,overall
2012,3,Akmola region,Neoplasm,0.1508,total,overall
2012,4,Aktobe region,Neoplasm,0.1019,total,overall
2012,5,Almaty region,Neoplasm,0.0784,total,overall
2012,6,Atyrau region,Neoplasm,0.0882,total,overall
2012,7,West Kazakkhstan region,Neoplasm,0.1107,total,overall
