year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Neoplasm,0.136,rural,overall
2007,4,Aktobe region,Neoplasm,0.1017,rural,overall
2007,5,Almaty region,Neoplasm,0.0971,rural,overall
2007,6,Atyrau region,Neoplasm,0.085,rural,overall
2007,7,West Kazakkhstan region,Neoplasm,0.1279,rural,overall
2007,8,Jambyl region,Neoplasm,0.0853,rural,overall
2007,9,Karaganda region,Neoplasm,0.1349,rural,overall
2007,10,Kostanay region,Neoplasm,0.1246,rural,overall
2007,11,Kyzylorda region,Neoplasm,0.0979,rural,overall
2007,12,Mangystau region,Neoplasm,0.0713,rural,overall
2007,13,South Kazakhstan region,Neoplasm,0.057,rural,overall
2007,14,Pavlodar region,Neoplasm,0.1443,rural,overall
2007,15,North Kazakhstan region,Neoplasm,0.1264,rural,overall
2007,16,East Kazakhstan region,Neoplasm,0.1414,rural,overall
2008,3,Akmola region,Neoplasm,0.1098,rural,overall
2008,4,Aktobe region,Neoplasm,0.1018,rural,overall
2008,5,Almaty region,Neoplasm,0.0845,rural,overall
2008,6,Atyrau region,Neoplasm,0.0815,rural,overall
2008,7,West Kazakkhstan region,Neoplasm,0.1404,rural,overall
2008,8,Jambyl region,Neoplasm,0.0823,rural,overall
2008,9,Karaganda region,Neoplasm,0.1017,rural,overall
2008,10,Kostanay region,Neoplasm,0.1293,rural,overall
2008,11,Kyzylorda region,Neoplasm,0.0755,rural,overall
2008,12,Mangystau region,Neoplasm,0.057,rural,overall
2008,13,South Kazakhstan region,Neoplasm,0.0559,rural,overall
2008,14,Pavlodar region,Neoplasm,0.1487,rural,overall
2008,15,North Kazakhstan region,Neoplasm,0.1452,rural,overall
2008,16,East Kazakhstan region,Neoplasm,0.1396,rural,overall
2009,3,Akmola region,Neoplasm,0.1107,rural,overall
2009,4,Aktobe region,Neoplasm,0.1012,rural,overall
2009,5,Almaty region,Neoplasm,0.08,rural,overall
2009,6,Atyrau region,Neoplasm,0.0868,rural,overall
2009,7,West Kazakkhstan region,Neoplasm,0.1294,rural,overall
2009,8,Jambyl region,Neoplasm,0.0895,rural,overall
2009,9,Karaganda region,Neoplasm,0.1038,rural,overall
2009,10,Kostanay region,Neoplasm,0.1071,rural,overall
2009,11,Kyzylorda region,Neoplasm,0.0783,rural,overall
2009,12,Mangystau region,Neoplasm,0.0498,rural,overall
2009,13,South Kazakhstan region,Neoplasm,0.0527,rural,overall
2009,14,Pavlodar region,Neoplasm,0.1511,rural,overall
