year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Respiratory diseases,0.0775,total,overall
2007,4,Aktobe region,Respiratory diseases,0.0326,total,overall
2007,5,Almaty region,Respiratory diseases,0.0459,total,overall
2007,6,Atyrau region,Respiratory diseases,0.0206,total,overall
2007,7,West Kazakkhstan region,Respiratory diseases,0.0593,total,overall
2007,8,Jambyl region,Respiratory diseases,0.0257,total,overall
2007,9,Karaganda region,Respiratory diseases,0.0607,total,overall
2007,10,Kostanay region,Respiratory diseases,0.0828,total,overall
2007,11,Kyzylorda region,Respiratory diseases,0.0477,total,overall
2007,12,Mangystau region,Respiratory diseases,0.111,total,overall
2007,13,South Kazakhstan region,Respiratory diseases,0.0606,total,overall
2007,14,Pavlodar region,Respiratory diseases,0.0488,total,overall
2007,15,North Kazakhstan region,Respiratory diseases,0.1144,total,overall
2007,16,East Kazakhstan region,Respiratory diseases,0.0645,total,overall
2007,1,Nur-Sultan,Respiratory diseases,0.0432,total,overall
2007,2,Almaty,Respiratory diseases,0.0325,total,overall
2008,3,Akmola region,Respiratory diseases,0.0739,total,overall
2008,4,Aktobe region,Respiratory diseases,0.0309,total,overall
2008,5,Almaty region,Respiratory diseases,0.0491,total,overall
2008,6,Atyrau region,Respiratory diseases,0.0146,total,overall
2008,7,West Kazakkhstan region,Respiratory diseases,0.0527,total,overall
2008,8,Jambyl region,Respiratory diseases,0.0297,total,overall
2008,9,Karaganda region,Respiratory diseases,0.0543,total,overall
2008,10,Kostanay region,Respiratory diseases,0.0837,total,overall
2008,11,Kyzylorda region,Respiratory diseases,0.0403,total,overall
2008,12,Mangystau region,Respiratory diseases,0.0506,total,overall
2008,13,South Kazakhstan region,Respiratory diseases,0.0496,total,overall
2008,14,Pavlodar region,Respiratory diseases,0.0423,total,overall
2008,15,North Kazakhstan region,Respiratory diseases,0.1069,total,overall
2008,16,East Kazakhstan region,Respiratory diseases,0.0567,total,overall
2008,1,Nur-Sultan,Respiratory diseases,0.0296,total,overall
2008,2,Almaty,Respiratory diseases,0.0248,total,overall
2009,3,Akmola region,Respiratory diseases,0.0608,total,overall
2009,4,Aktobe region,Respiratory diseases,0.0534,total,overall
2009,5,Almaty region,Respiratory diseases,0.0629,total,overall
2009,6,Atyrau region,Respiratory diseases,0.0447,total,overall
2009,7,West Kazakkhstan region,Respiratory diseases,0.0719,total,overall
2009,8,Jambyl region,Respiratory diseases,0.042,total,overall
2009,9,Karaganda region,Respiratory diseases,0.0537,total,overall
2009,10,Kostanay region,Respiratory diseases,0.1338,total,overall
2009,11,Kyzylorda region,Respiratory diseases,0.0401,total,overall
2009,12,Mangystau region,Respiratory diseases,0.0298,total,overall
2009,13,South Kazakhstan region,Respiratory diseases,0.0462,total,overall
2009,14,Pavlodar region,Respiratory diseases,0.0447,total,overall
2009,15,North Kazakhstan region,Respiratory diseases,0.1529,total,overall
