year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Respiratory diseases,0.0771,rural,overall
2007,4,Aktobe region,Respiratory diseases,0.0338,rural,overall
2007,5,Almaty region,Respiratory diseases,0.0466,rural,overall
2007,6,Atyrau region,Respiratory diseases,0.026,rural,overall
2007,7,West Kazakkhstan region,Respiratory diseases,0.0516,rural,overall
2007,8,Jambyl region,Respiratory diseases,0.0248,rural,overall
2007,9,Karaganda region,Respiratory diseases,0.0589,rural,overall
2007,10,Kostanay region,Respiratory diseases,0.0564,rural,overall
2007,11,Kyzylorda region,Respiratory diseases,0.0671,rural,overall
2007,12,Mangystau region,Respiratory diseases,0.1066,rural,overall
2007,13,South Kazakhstan region,Respiratory diseases,0.061,rural,overall
2007,14,Pavlodar region,Respiratory diseases,0.0505,rural,overall
2007,15,North Kazakhstan region,Respiratory diseases,0.1109,rural,overall
2007,16,East Kazakhstan region,Respiratory diseases,0.0695,rural,overall
2008,3,Akmola region,Respiratory diseases,0.074,rural,overall
2008,4,Aktobe region,Respiratory diseases,0.0322,rural,overall
2008,5,Almaty region,Respiratory diseases,0.0498,rural,overall
2008,6,Atyrau region,Respiratory diseases,0.0164,rural,overall
2008,7,West Kazakkhstan region,Respiratory diseases,0.0597,rural,overall
2008,8,Jambyl region,Respiratory diseases,0.0286,rural,overall
2008,9,Karaganda region,Respiratory diseases,0.0465,rural,overall
2008,10,Kostanay region,Respiratory diseases,0.0652,rural,overall
2008,11,Kyzylorda region,Respiratory diseases,0.0468,rural,overall
2008,12,Mangystau region,Respiratory diseases,0.0516,rural,overall
2008,13,South Kazakhstan region,Respiratory diseases,0.0513,rural,overall
2008,14,Pavlodar region,Respiratory diseases,0.0392,rural,overall
2008,15,North Kazakhstan region,Respiratory diseases,0.1146,rural,overall
2008,16,East Kazakhstan region,Respiratory diseases,0.0588,rural,overall
2009,3,Akmola region,Respiratory diseases,0.0656,rural,overall
2009,4,Aktobe region,Respiratory diseases,0.0713,rural,overall
2009,5,Almaty region,Respiratory diseases,0.0605,rural,overall
2009,6,Atyrau region,Respiratory diseases,0.0541,rural,overall
2009,7,West Kazakkhstan region,Respiratory diseases,0.0764,rural,overall
