year,region_num,region_name,class,data_value,data_value_type,gender
2007,3,Akmola region,Respiratory diseases,0.0781,urban,overall
2007,4,Aktobe region,Respiratory diseases,0.0316,urban,overall
2007,5,Almaty region,Respiratory diseases,0.0441,urban,overall
2007,6,Atyrau region,Respiratory diseases,0.0157,urban,overall
2007,7,West Kazakkhstan region,Respiratory diseases,0.0691,urban,overall
2007,8,Jambyl region,Respiratory diseases,0.027,urban,overall
2007,9,Karaganda region,Respiratory diseases,0.0611,urban,overall
2007,10,Kostanay region,Respiratory diseases,0.1082,urban,overall
2007,11,Kyzylorda region,Respiratory diseases,0.0262,urban,overall
2007,12,Mangystau region,Respiratory diseases,0.114,urban,overall
2007,13,South Kazakhstan region,Respiratory diseases,0.0599,urban,overall
2007,14,Pavlodar region,Respiratory diseases,0.048,urban,overall
2007,15,North Kazakhstan region,Respiratory diseases,0.1208,urban,overall
2007,16,East Kazakhstan region,Respiratory diseases,0.0608,urban,overall
2007,1,Nur-Sultan,Respiratory diseases,0.0432,urban,overall
2007,2,Almaty,Respiratory diseases,0.0325,urban,overall
2008,3,Akmola region,Respiratory diseases,0.0737,urban,overall
2008,4,Aktobe region,Respiratory diseases,0.03,urban,overall
2008,5,Almaty region,Respiratory diseases,0.047,urban,overall
2008,6,Atyrau region,Respiratory diseases,0.0126,urban,overall
2008,7,West Kazakkhstan region,Respiratory diseases,0.0444,urban,overall
2008,8,Jambyl region,Respiratory diseases,0.0313,urban,overall
2008,9,Karaganda region,Respiratory diseases,0.0565,urban,overall
2008,10,Kostanay region,Respiratory diseases,0.1029,urban,overall
2008,11,Kyzylorda region,Respiratory diseases,0.03,urban,overall
2008,12,Mangystau region,Respiratory diseases,0.0497,urban,overall
2008,13,South Kazakhstan region,Respiratory diseases,0.0471,urban,overall
2008,14,Pavlodar region,Respiratory diseases,0.0439,urban,overall
2008,15,North Kazakhstan region,Respiratory diseases,0.0941,urban,overall
2008,16,East Kazakhstan region,Respiratory diseases,0.055,urban,overall
2008,1,Nur-Sultan,Respiratory diseases,0.0296,urban,overall
2008,2,Almaty,Respiratory diseases,0.0248,urban,overall
2009,3,Akmola region,Respiratory diseases,0.0552,urban,overall
2009,4,Aktobe region,Respiratory diseases,0.0419,urban,overall
2009,5,Almaty region,Respiratory diseases,0.0708,urban,overall
2009,6,Atyrau region,Respiratory diseases,0.0341,urban,overall
2009,7,West Kazakkhstan region,Respiratory diseases,0.0667,urban,overall
2009,8,Jambyl region,Respiratory diseases,0.0441,urban,overall
2009,9,Karaganda region,Respiratory diseases,0.0526,urban,overall
